text,text_cleaned,text_removal,text_normalized,text_manual_replaced,text_without_stopword,label
"Plg JALAN-JALAN DARI TURKI, TRS + CVD. KALO OMICRON GIMANA(?) MEMANG ORANG KAYA KOK YG BAWA PENYAKIT KESINI. YG SUSAH YA KAMI YANG GAPUNYA DUIT. Dari kemaren emg gedeg bgt gue sama artis yg jalan2 ke LN. KEK GABISA SABAR DULU APAAA??????",plg jalan jalan dari turki trs cvd kalo omicron gimana memang orang kaya kok yg bawa penyakit kesini yg susah ya kami yang gapunya duit dari kemaren emg gedeg bgt gue sama artis yg jalan ke ln kek gabisa sabar dulu apaaa,plg jalan jalan turki trs cvd kalo omicron gimana kaya yg bawa sakit kesini yg susah gapunya duit kemaren emg gedeg bgt gue artis yg jalan ln kek gabisa sabar apaaa,pulang jalan jalan turki terus cvd kalau omicron bagaimana kayak yang bawa sakit kesini yang susah enggak punya uang kemarin memang gedek banget saya artis yang jalan ln kayak enggak bisa sabar apa,pulang jalan jalan turki terus cvd kalau omicron bagaimana kayak yang bawa sakit kesini yang susah enggak punya uang kemarin memang gedek banget aku artis yang jalan ln kayak enggak bisa sabar apa,pulang jalan jalan turki terus cvd kalau omicron bagaimana kayak yang bawa sakit kesini yang susah tidak punya uang kemarin memang gedek banget aku artis yang jalan ln kayak tidak bisa sabar apa,0
"PTM Persen Tanpa Kendala, meski Omicron Naik",ptm persen tanpa kendala meski omicron naik,ptm persen kendala omicron,ptm persen kendala omicron,ptm persen kendala omicron,ptm persen kendala omicron,1
"Pandemi udah tahun dan segitu banyak yang udah pernah kena covid, gue pikir udah nggak pas lagi kita mencibir orang yang kena, gak hati2 lah, apalah, itulah. Dan lagi, ga ada negara mana pun yang bisa halau omicron masuk. It will come and it has come, mau digimanain jg.",pandemi udah tahun dan segitu banyak yang udah pernah kena covid gue pikir udah nggak pas lagi kita mencibir orang yang kena gak hati lah apalah itulah dan lagi ga ada negara mana pun yang bisa halau omicron masuk it will come and it has come mau digimanain jg,pandemi udah tahun segitu udah covid gue pikir udah nggak pas cibir gak hati ga negara halau omicron it will come and it has come digimanain jg,pandemi sudah tahun segitu sudah covid saya pikir sudah enggak pas cibir enggak hati enggak negara halau omicron itu will come and itu has come digimanain juga,pandemi sudah tahun segitu sudah covid aku pikir sudah enggak pas cibir enggak hati enggak negara halau omicron itu will come and itu has come digimanain juga,pandemi sudah tahun segitu sudah covid aku pikir sudah tidak pas cibir tidak hati tidak negara halau omicron itu will come and itu has come digimanain juga,1
brapa ratus tahun ashanty akan d penjara krna menyebarkan omicron ?,brapa ratus tahun ashanty akan d penjara krna menyebarkan omicron,brapa ratus tahun ashanty penjara krna sebar omicron,berapa ratus tahun ashanty penjara karena sebar omicron,berapa ratus tahun ashanty penjara karena sebar omicron,berapa ratus tahun ashanty penjara karena sebar omicron,0
usia - Tahun yang rentan terpapar Varian Delta dan Omicron.,usia tahun yang rentan terpapar varian delta dan omicron,usia tahun rentan papar varian delta omicron,usia tahun rentan papar varian delta omicron,usia tahun rentan papar varian delta omicron,usia tahun rentan papar varian delta omicron,1
"OMICRON, FLORONA APA KABARRRRR",omicron florona apa kabarrrrr,omicron florona kabarrrrr,omicron florona kabarrrrr,omicron florona kabarrrrr,omicron florona kabarrrrr,1
Ternyata punya autoimmune gak masalah tuh kena omicron. Fix omicron cuma batuk pilek doang.,ternyata punya autoimmune gak masalah tuh kena omicron fix omicron cuma batuk pilek doang,autoimmune gak tuh omicron fix omicron batuk pilek doang,autoimmune enggak itu omicron fix omicron batuk pilek saja,autoimmune enggak itu omicron fix omicron batuk pilek saja,autoimmune tidak itu omicron fix omicron batuk pilek saja,1
"Dapat omicron = dapat duit, gini gak sih?",dapat omicron dapat duit gini gak sih,omicron duit gin gak sih,omicron uang gin enggak sih,omicron uang gini enggak sih,omicron uang begini tidak sih,1
"Yg sdh jelas2 positif Covid hrsnya dirawat di RS, bukan dibiarkan karantina di Hotel Bahaya bagi tamu &amp; karyawan yg lain, dan jadi promosi yg jelek bagi hotel. Ashanty dikabarkan terpapar Omicron.",yg sdh jelas positif covid hrsnya dirawat di rs bukan dibiarkan karantina di hotel bahaya bagi tamu amp karyawan yg lain dan jadi promosi yg jelek bagi hotel ashanty dikabarkan terpapar omicron,yg sdh positif covid hrsnya rawat rs biar karantina hotel bahaya tamu amp karyawan yg promosi yg jelek hotel ashanty kabar papar omicron,yang sudah positif covid harusnya rawat rs biar karantina hotel bahaya tamu amp karyawan yang promosi yang jelek hotel ashanty kabar papar omicron,yang sudah positif covid harusnya rawat rs biar karantina hotel bahaya tamu amp karyawan yang promosi yang jelek hotel ashanty kabar papar omicron,yang sudah positif covid harus rawat rs biar karantina hotel bahaya tamu amp karyawan yang promosi yang jelek hotel ashanty kabar papar omicron,0
"Udahlah punya autoimun, pernah kena covid juga terus kayaknya sekarang kena omicron kok ya ndableg pergi ke Turki. Ke Bali kek, Labuan Bajo, Lombok. Kayaknya kalo ngga keluar negeri kejang-kejang ya.",udahlah punya autoimun pernah kena covid juga terus kayaknya sekarang kena omicron kok ya ndableg pergi ke turki ke bali kek labuan bajo lombok kayaknya kalo ngga keluar negeri kejang kejang ya,udahlah autoimun covid kayak omicron ndableg pergi turki bal kek labu bajo lombok kayak kalo ngga negeri kejang kejang,sudahlah autoimun covid kayak omicron ndableg pergi turki bal kayak labu bajo lombok kayak kalau enggak negeri kejang kejang,sudahlah autoimun covid kayak omicron ndableg pergi turki bal kayak labu bajo lombok kayak kalau enggak negeri kejang kejang,sudah autoimun covid kayak omicron ndableg pergi turki bal kayak labu bajo lombok kayak kalau tidak negeri kejang kejang,0
"Gejala Baru Kena Omicron, Muntah dan Hilang Nafsu Makan",gejala baru kena omicron muntah dan hilang nafsu makan,gejala omicron muntah hilang nafsu makan,gejala omicron muntah hilang nafsu makan,gejala omicron muntah hilang nafsu makan,gejala omicron muntah hilang nafsu makan,1
Makane lek sugeh ojo kemlelet.. kurung ae setahun pak. Soalnya gk ada empati udah tahu lagi omicron malah liburan wkwkwk,makane lek sugeh ojo kemlelet kurung ae setahun pak soalnya gk ada empati udah tahu lagi omicron malah liburan wkwkwk,makane lek sugeh ojo kemlelet kurung ae tahun gk empati udah omicron libur wkwkwk,makane lek sugeh ojo kemlelet kurung saja tahun enggak empati sudah omicron libur wkwkwk,makane lek sugeh ojo kemlelet kurung saja tahun enggak empati sudah omicron libur wkwkwk,makane lek sugeh ojo kemlelet kurung saja tahun tidak empati sudah omicron libur wkwkwk,0
"di artikel ini disebutin kalo kasus omicron berdasarkan kemenkes, udah ada case... wow...",di artikel ini disebutin kalo kasus omicron berdasarkan kemenkes udah ada case wow,artikel disebutin kalo omicron dasar kemenkes udah case wow,artikel disebutin kalau omicron dasar kemenkes sudah case wow,artikel disebutin kalau omicron dasar kemenkes sudah case wow,artikel disebutin kalau omicron dasar kemenkes sudah case wow,0
siiaaapppp... bulan apa om? semoga ga ada ppkm gara gara omicron.,siiaaapppp bulan apa om semoga ga ada ppkm gara gara omicron,siiaaapppp om moga ga ppkm gara gara omicron,siiaaapppp om moga enggak ppkm gara gara omicron,siiaaapppp om semoga enggak ppkm gara gara omicron,siiaaapppp om semoga tidak ppkm gara gara omicron,1
"Min, yg lebih berbahaya itu omluhut Klo omicron gk trlalu bahaya kyak nya",min yg lebih berbahaya itu omluhut klo omicron gk trlalu bahaya kyak nya,min yg bahaya omluhut klo omicron gk trlalu bahaya kyak,min yang bahaya omluhut kalo omicron enggak terlalu bahaya kayak,min yang bahaya omluhut kalo omicron enggak terlalu bahaya kayak,min yang bahaya omluhut kalau omicron tidak terlalu bahaya kayak,1
"Ashanty FULL SENYUM Peduli setan bawa Omicron, yg penting waktu ndongengin soal capadocaciafafifuwasweswos di circle arisan, doi bisa nggedebus sampe cuwapeeekkk....",ashanty full senyum peduli setan bawa omicron yg penting waktu ndongengin soal capadocaciafafifuwasweswos di circle arisan doi bisa nggedebus sampe cuwapeeekkk,ashanty full senyum peduli setan bawa omicron yg waktu ndongengin capadocaciafafifuwasweswos circle arisan doi nggedebus sampe cuwapeeekkk,ashanty full senyum peduli setan bawa omicron yang waktu ndongengin capadocaciafafifuwasweswos circle arisan dia nggedebus sampai cuwapeeekkk,ashanty full senyum peduli setan bawa omicron yang waktu ndongengin capadocaciafafifuwasweswos circle arisan dia nggedebus sampai cuwapeeekkk,ashanty full senyum peduli setan bawa omicron yang waktu ndongengin capadocaciafafifuwasweswos circle arisan dia nggedebus sampai cuwapeeekkk,0
"Pemerintah : "" hallo Ashaty "" Ashanty : "" iya pak !! "" Pemerintah : "" besok lu balik dari turki gw positif in covid varian omicron ya , biar rame di indonesia !! "" Ashanty : "" beres pak , tapi ada cuannya gak nih ? "" Pemerintah :"" itumahh beres""",pemerintah hallo ashaty ashanty iya pak pemerintah besok lu balik dari turki gw positif in covid varian omicron ya biar rame di indonesia ashanty beres pak tapi ada cuannya gak nih pemerintah itumahh beres,perintah ashaty ashanty iya perintah besok lu turki gw positif in covid varian omicron biar rame indonesia ashanty beres cuannya gak nih perintah itumahh beres,perintah ashaty ashanty iya perintah besok kamu turki gue positif ini covid varian omicron biar ramai indonesia ashanty beres cuannya enggak ini perintah itumah beres,perintah ashaty ashanty iya perintah besok kamu turki aku positif ini covid varian omicron biar ramai indonesia ashanty beres cuannya enggak ini perintah itumah beres,perintah ashaty ashanty iya perintah besok kamu turki aku positif ini covid varian omicron biar ramai indonesia ashanty beres cuannya tidak ini perintah itumah beres,0
Omicron lagi banyak ni..mau??? Wkwkwk2k2k2k2,omicron lagi banyak ni mau wkwkwkkkk,omicron ni wkwkwkkkk,omicron nih wkwkwkkkk,omicron nih wkwkwkkkk,omicron ini wkwkwkkkk,0
"Dia sopan kok, gausah terlalu diributin. Gapapa , yg penting sopan. Sopan santun itu nomer satu. Semoga pas bebas omicron menyebar luas lagi, biar anak muda pada bego Krn ga sekolah (kali ini ga serius)",dia sopan kok gausah terlalu diributin gapapa yg penting sopan sopan santun itu nomer satu semoga pas bebas omicron menyebar luas lagi biar anak muda pada bego krn ga sekolah kali ini ga serius,sopan gausah diributin gapapa yg sopan sopan santun nomer moga pas bebas omicron sebar luas biar anak muda bego krn ga sekolah ga serius,sopan enggak usah diributin tidak apa-apa yang sopan sopan santun nomer moga pas bebas omicron sebar luas biar anak muda bego karena enggak sekolah enggak serius,sopan enggak usah diributin tidak apa-apa yang sopan sopan santun nomer semoga pas bebas omicron sebar luas biar anak muda bego karena enggak sekolah enggak serius,sopan tidak perlu diributin tidak apa apa yang sopan sopan santun nomer semoga pas bebas omicron sebar luas biar anak muda bego karena tidak sekolah tidak serius,0
Omicron? Naaah hanya mitos,omicron naaah hanya mitos,omicron naaah mitos,omicron naaah mitos,omicron naaah mitos,omicron naaah mitos,1
Omicron pakyu,omicron pakyu,omicron pakyu,omicron pakyu,omicron pakyu,omicron pakyu,0
"Orang dulu kalau balik dari umrah, bawa balik air zam-zam. Sekarang balik dari umrah, bawak balik Omicron.",orang dulu kalau balik dari umrah bawa balik air zam zam sekarang balik dari umrah bawak balik omicron,umrah bawa air zam zam umrah bawak omicron,umrah bawa air zam zam umrah bawa omicron,umrah bawa air zam zam umrah bawa omicron,umrah bawa air zam zam umrah bawa omicron,0
"capek yaa gini terus, ashanty yg kena omicron, rakyat kecil yg kena imbasnya, orang kaya knp susah ya dibilanginnya, ckckck",capek yaa gini terus ashanty yg kena omicron rakyat kecil yg kena imbasnya orang kaya knp susah ya dibilanginnya ckckck,capek yaa gin ashanty yg omicron rakyat yg imbas kaya knp susah dibilanginnya ckckck,lelah ya gin ashanty yang omicron rakyat yang imbas kayak kenapa susah dibilanginnya ckckck,lelah iya gini ashanty yang omicron rakyat yang imbas kayak kenapa susah dibilanginnya ckckck,lelah iya begini ashanty yang omicron rakyat yang imbas kayak kenapa susah dibilanginnya ckckck,0
Eaaallaaahhhhh Plng liburan bawa omicron,eaaallaaahhhhh plng liburan bawa omicron,eaaallaaahhhhh plng libur bawa omicron,eaaallaaahhhhh plng libur bawa omicron,eaaallaaahhhhh plng libur bawa omicron,eaaallaaahhhhh plng libur bawa omicron,0
Long covid-nya Omicron: tanpa gejala. Dagelan.,long covid nya omicron tanpa gejala dagelan,long covid omicron gejala dagel,long covid omicron gejala dagel,long covid omicron gejala dagel,long covid omicron gejala dagel,1
Bygkan x masuk syurga sbb sebarkan varian omicron,bygkan x masuk syurga sbb sebarkan varian omicron,bygkan syurga sbb sebar varian omicron,bygkan syurga sebab sebar varian omicron,bygkan syurga sebab sebar varian omicron,bygkan syurga sebab sebar varian omicron,0
"Setuju, ueg &amp; bbrp temen sdh sempet ngalamin gejala Omicron bersamaan (pegel2 &amp; sakit tenggorokan) tapi pas tes ueg negatif bahkan dengan PCR yg ambil sampel tenggorokan. Udahlah mending kalau ada gejala langsung maskeran aja &amp; karantina diri sebisanya",setuju ueg amp bbrp temen sdh sempet ngalamin gejala omicron bersamaan pegel amp sakit tenggorokan tapi pas tes ueg negatif bahkan dengan pcr yg ambil sampel tenggorokan udahlah mending kalau ada gejala langsung maskeran aja amp karantina diri sebisanya,ueg amp bbrp temen sdh sempet ngalamin gejala omicron gel amp sakit tenggorok pas tes ueg negatif pcr yg ambil sampel tenggorok udahlah mending gejala masker aja amp karantina,ueg amp beberapa teman sudah sempat ngalamin gejala omicron gel amp sakit tenggorok pas tes ueg negatif pcr yang ambil sampel tenggorok sudahlah lebih baik gejala masker saja amp karantina,ueg amp beberapa teman sudah sempat ngalamin gejala omicron gel amp sakit tenggorok pas tes ueg negatif pcr yang ambil sampel tenggorok sudahlah lebih baik gejala masker saja amp karantina,ueg amp beberapa teman sudah sempat ngalamin gejala omicron gel amp sakit tenggorok pas tes ueg negatif pcr yang ambil sampel tenggorok sudah lebih baik gejala masker saja amp karantina,1
Lawan dengan fakta! Indonesia siap lawan omicron! Jangan menyerah tetap kolaborasi!,lawan dengan fakta indonesia siap lawan omicron jangan menyerah tetap kolaborasi,lawan fakta indonesia lawan omicron serah kolaborasi,lawan fakta indonesia lawan omicron serah kolaborasi,lawan fakta indonesia lawan omicron serah kolaborasi,lawan fakta indonesia lawan omicron serah kolaborasi,1
"gilaa cepet banget ni omicron nyebar. awal2 cm orang yg terdeteksi, skrg bs nembus angka &gt;35.000 cm dlm hitubgan hari",gilaa cepet banget ni omicron nyebar awal cm orang yg terdeteksi skrg bs nembus angka gt cm dlm hitubgan hari,gilaa cepet banget ni omicron nyebar cm yg deteksi skrg bs nembus angka gt cm dlm hitubgan,gila cepat banget nih omicron nyebar cuma yang deteksi sekarang bisa nembus angka begitu cuma dalam hitubgan,gila cepat banget nih omicron nyebar cuma yang deteksi sekarang bisa nembus angka begitu cuma dalam hitubgan,gila cepat banget ini omicron nyebar cuma yang deteksi sekarang bisa nembus angka begitu cuma dalam hitubgan,0
Yang takut omicron mah cupu banget lah. Gue udah kena masih idup aja,yang takut omicron mah cupu banget lah gue udah kena masih idup aja,takut omicron mah cupu banget gue udah idup aja,takut omicron mah culun banget saya sudah hidup saja,takut omicron mah culun banget aku sudah hidup saja,takut omicron mah culun banget aku sudah hidup saja,1
Analisis WHO: Omicron Bisa Tembus Kekebalan Orang Sudah Vaksinasi atau Pernah Kena Covid-19 via .co,analisis who omicron bisa tembus kekebalan orang sudah vaksinasi atau pernah kena covid via co,analisis who omicron tembus kebal vaksinasi covid via co,analisis who omicron tembus kebal vaksinasi covid via cowok,analisis who omicron tembus kebal vaksinasi covid via cowok,analisis who omicron tembus kebal vaksinasi covid via cowok,1
